year-quarter, Black, White
2020Q2,783.5565857,129.8449748
2020Q3,422.3175121,98.36883519
2020Q4,456.1918496,244.8720968
2021Q1,730.194695,311.1749097
2021Q2,328.5418366,129.3494734
2021Q3,764.8537662,453.8557315
2021Q4,498.6982576,471.1510916
2022Q1,625.301959,434.3188173
